Epoch,Train_Loss,Val_Loss,Val_Accuracy
1,inf,inf,0.0
2,inf,inf,0.0
3,inf,inf,0.0
4,inf,inf,0.0
5,inf,inf,0.0
6,inf,inf,0.0
7,inf,inf,0.0
8,inf,inf,0.0
9,inf,inf,0.0
10,inf,inf,0.0
11,inf,inf,0.0
12,inf,inf,0.0
13,inf,inf,0.0
14,inf,inf,0.0
15,inf,inf,0.0
16,inf,inf,0.0
17,inf,inf,0.0
18,inf,inf,0.0
19,inf,inf,0.0
20,inf,inf,0.0
21,inf,inf,0.0
22,inf,inf,0.0
23,inf,inf,0.0
24,inf,inf,0.0
25,inf,inf,0.0
26,inf,inf,0.0
27,inf,inf,0.0
28,inf,inf,0.0
29,inf,inf,0.0
30,inf,inf,0.0
31,inf,inf,0.0
32,inf,inf,0.0
33,inf,inf,0.0
34,inf,inf,0.0
35,inf,inf,0.0
36,inf,inf,0.0
37,inf,inf,0.0
38,inf,inf,0.0
39,inf,inf,0.0
40,inf,inf,0.0
41,inf,inf,0.0
42,inf,inf,0.0
43,inf,inf,0.0
44,inf,inf,0.0
45,inf,inf,0.0
46,inf,inf,0.0
47,inf,inf,0.0
48,inf,inf,0.0
49,inf,inf,0.0
50,inf,inf,0.0
51,inf,inf,0.0
52,inf,inf,0.0
53,inf,inf,0.0
54,inf,inf,0.0
55,inf,inf,0.0
56,inf,inf,0.0
57,inf,inf,0.0
58,inf,inf,0.0
59,inf,inf,0.0
60,inf,inf,0.0
61,inf,inf,0.0
62,inf,inf,0.0
63,inf,inf,0.0
64,inf,inf,0.0
65,inf,inf,0.0
66,inf,inf,0.0
67,inf,inf,0.0
68,inf,inf,0.0
69,inf,inf,0.0
70,inf,inf,0.0
71,inf,inf,0.0
72,inf,inf,0.0
73,inf,inf,0.0
74,inf,inf,0.0
75,inf,inf,0.0
76,inf,inf,0.0
77,inf,inf,0.0
78,inf,inf,0.0
79,inf,inf,0.0
80,inf,inf,0.0
81,inf,inf,0.0
82,inf,inf,0.0
83,inf,inf,0.0
84,inf,inf,0.0
85,inf,inf,0.0
86,inf,inf,0.0
87,inf,inf,0.0
88,inf,inf,0.0
89,inf,inf,0.0
90,inf,inf,0.0
91,inf,inf,0.0
92,inf,inf,0.0
93,inf,inf,0.0
94,inf,inf,0.0
95,inf,inf,0.0
96,inf,inf,0.0
97,inf,inf,0.0
98,inf,inf,0.0
99,inf,inf,0.0
100,inf,inf,0.0
